,name ,serving_size,calories,total_fat,saturated_fat,cholesterol,vitamin_a,vitamin_a_rae,vitamin_b12,vitamin_b6,vitamin_c,vitamin_e,tocopherol_alpha,vitamin_k,carbohydrate,fiber,sugars,fat
0,Cornstarch,100 g,381,0.1g,,0,0,0,0,0,0,0,0,0,91.27 g,0.9 g,0.00 g,0.05 g
1,"Nuts, pecans",100 g,691,72g,6.2g,0,56,3,0,0.21,1.1,1.4,1.4,3.5,13.86 g,9.6 g,3.97 g,71.97 g
2,"Eggplant, raw",100 g,25,0.2g,,0,23,1,0,0.084,2.2,0.3,0.3,3.5,5.88 g,3.0 g,3.53 g,0.18 g
3,"Teff, uncooked",100 g,367,2.4g,0.4g,0,9,0,0,0.482,0,0.08,0.08,1.9,73.13 g,8.0 g,1.84 g,2.38 g
4,"Sherbet, orange",100 g,144,2g,1.2g,1,46,12,0.13,0.023,2.3,0.01,0.01,0,30.40 g,1.3 g,24.32 g,2.00 g
5,"Cauliflower, raw",100 g,25,0.3g,0.1g,0,0,0,0,0.184,48.2,0.08,0.08,15.5,4.97 g,2.0 g,1.91 g,0.28 g
6,"Taro leaves, raw",100 g,42,0.7g,0.2g,0,4825,241,0,0.146,52,2.02,2.02,108.6,6.70 g,3.7 g,3.01 g,0.74 g
7,"Lamb, raw, ground",100 g,282,23g,10g,73,0,0,2.31,0.13,0,0.2,0.2,3.6,0.00 g,0.0 g,0.00 g,23.41 g
8,"Cheese, camembert",100 g,300,24g,15g,72,820,241,1.3,0.227,0,0.21,0.21,2,0.46 g,0.0 g,0.46 g,24.26 g
9,Vegetarian fillets,100 g,290,18g,2.8g,0,0,0,4.2,1.5,0,3.45,3.45,0,9.00 g,6.1 g,0.80 g,18.00 g
10,"PACE, Picante Sauce",100 g,25,0g,,0,313,0,0,0,0,0,0,0,6.25 g,3.1 g,6.25 g,0.00 g
11,"Goji berries, dried",100 g,349,0.4g,,0,26822,0,0,0,48.4,0,0,0,77.06 g,13.0 g,45.61 g,0.39 g
12,"Mango nectar, canned",100 g,51,0.1g,,0,692,35,0,0.015,15.2,0.21,0.21,0.8,13.12 g,0.3 g,12.45 g,0.06 g
13,"Crackers, rusk toast",100 g,407,7.2g,1.4g,78,41,12,0.18,0.047,0,0,0,0,72.30 g,0,0,7.20 g
14,"Chicken, boiled, feet",100 g,215,15g,3.9g,84,100,30,0.47,0.01,0,0.27,0.27,0.2,0.20 g,0.0 g,0.00 g,14.60 g
15,"Quail, raw, meat only",100 g,134,4.5g,1.3g,70,57,17,0.47,0.53,7.2,0,0,0,0.00 g,0.0 g,0,4.53 g
16,"Pie, lemon, fried pies",100 g,316,16g,2.5g,0,32,2,0.08,0.03,0,0,0,0,42.60 g,2.6 g,0,16.10 g
17,"Peppers, raw, jalapeno",100 g,29,0.4g,0.1g,0,1078,54,0,0.419,118.6,3.58,3.58,18.5,6.50 g,2.8 g,4.12 g,0.37 g
18,"Winged bean tuber, raw",100 g,148,0.9g,0.2g,0,0,0,0,0.075,0,0,0,0,28.10 g,0,0,0.90 g
19,"Salami, turkey, cooked",100 g,172,9.2g,2.8g,76,6,2,0.99,0.427,0,0.24,0.24,1.3,1.55 g,0.1 g,1.12 g,9.21 g
20,"Grapes, raw, muscadine",100 g,57,0.5g,,0,67,3,0,0,6.5,0,0,0,13.93 g,3.9 g,0,0.47 g
21,"Nuts, raw, ginkgo nuts",100 g,182,1.7g,0.3g,0,558,28,0,0.328,15,0,0,0,37.60 g,0,0,1.68 g
22,"Spices, ground, savory",100 g,272,5.9g,3.3g,0,5130,257,0,1.81,50,0,0,0,68.73 g,45.7 g,0,5.91 g
